ds,y
2002-07-22,419.20512820512823
2002-07-23,409.8875
2002-07-24,425.0
2002-07-25,414.89130434782606
2002-07-26,434.075
2002-07-27,411.2894736842105
2002-07-28,407.14285714285717
2002-07-29,435.4
2002-07-30,438.16129032258067
2002-07-31,458.35897435897436
2002-08-01,433.9024390243902
2002-08-02,444.3658536585366
2002-08-03,440.7105263157895
2002-08-04,419.1666666666667
2002-08-05,452.6309523809524
2002-08-06,417.95454545454544
2002-08-07,457.1333333333333
2002-08-08,507.3414634146341
2002-08-09,554.9473684210526
2002-08-10,499.0833333333333
2002-08-11,521.875
2002-08-12,484.97727272727275
2002-08-13,473.6904761904762
2002-08-14,476.8780487804878
2002-08-15,501.7857142857143
2002-08-16,533.5348837209302
2002-08-17,536.8974358974359
2002-08-18,551.25
2002-08-19,512.3913043478261
2002-08-20,473.78
2002-08-21,482.69565217391306
2002-08-22,496.75
2002-08-23,481.51063829787233
2002-08-24,492.5
2002-08-25,425.0
2002-08-26,479.00961538461536
2002-08-27,543.1538461538462
2002-08-28,500.3557692307692
2002-08-29,516.05
2002-08-30,535.3142857142857
2002-08-31,468.3333333333333
2002-09-01,478.3333333333333
2002-09-02,502.64285714285717
2002-09-03,502.4791666666667
2002-09-04,505.0104166666667
2002-09-05,524.6222222222223
2002-09-06,553.2954545454545
2002-09-07,535.7105263157895
2002-09-08,466.1111111111111
2002-09-09,514.0851063829788
2002-09-10,593.4
2002-09-11,506.12068965517244
2002-09-12,503.3673469387755
2002-09-13,515.24
2002-09-14,470.1666666666667
2002-09-15,428.5
2002-09-16,502.37254901960785
2002-09-17,500.32608695652175
2002-09-18,529.1836734693877
2002-09-19,512.3703703703703
2002-09-20,521.4418604651163
2002-09-21,532.8269230769231
2002-09-22,478.3333333333333
2002-09-23,512.5573770491803
2002-09-24,522.5
2002-09-25,514.8653846153846
2002-09-26,550.4285714285714
2002-09-27,527.2166666666667
2002-09-28,543.8
2002-09-29,474.1666666666667
2002-09-30,508.2682926829268
2002-10-01,546.3148148148148
2002-10-02,484.7857142857143
2002-10-03,516.7321428571429
2002-10-04,541.7547169811321
2002-10-05,525.8571428571429
2002-10-06,494.09090909090907
2002-10-07,519.6346153846154
2002-10-08,589.7735849056604
2002-10-09,567.9508196721312
2002-10-10,555.843137254902
2002-10-11,552.5294117647059
2002-10-12,516.6
2002-10-13,492.0
2002-10-14,526.72
2002-10-15,533.9565217391304
2002-10-16,535.1666666666666
2002-10-17,591.8135593220339
2002-10-18,622.2448979591836
2002-10-19,632.2291666666666
2002-10-20,542.0
2002-10-21,555.8717948717949
2002-10-22,696.4081632653061
2002-10-23,702.3214285714286
2002-10-24,652.311475409836
2002-10-25,667.8852459016393
2002-10-26,657.6545454545454
2002-10-27,460.4166666666667
2002-10-28,631.8095238095239
2002-10-29,644.4528301886793
2002-10-30,617.5074626865671
2002-10-31,603.4905660377359
2002-11-01,656.4042553191489
2002-11-02,619.875
2002-11-03,480.45454545454544
2002-11-04,508.52941176470586
2002-11-05,632.0
2002-11-06,589.4468085106383
2002-11-07,612.1724137931035
2002-11-08,614.3928571428571
