ds,y,rainfall,transport_lag_3
2017-02-25,1110.1590361445783,0.0,55.84000015258789
2017-02-26,985.4953703703703,0.0,56.58000183105469
2017-02-27,1044.28,0.0,55.9900016784668
2017-02-28,1057.3846153846155,0.0,55.9900016784668
2017-03-01,1063.5282651072125,0.0,55.9900016784668
2017-03-02,1061.9492753623188,0.0,55.93000030517578
2017-03-03,1014.6042471042471,0.0,55.59000015258789
2017-03-04,1052.402489626556,0.0,55.59999847412109
2017-03-05,925.3233082706766,0.0,55.08000183105469
2017-03-06,1035.6102661596958,0.0,55.900001525878906
2017-03-07,1000.8766859344894,0.0,55.900001525878906
2017-03-08,1043.5989110707803,0.0,55.900001525878906
2017-03-09,1021.9794007490636,0.0,56.0099983215332
2017-03-10,1068.4038461538462,0.0,55.91999816894531
2017-03-11,993.1679790026246,0.0,53.11000061035156
2017-03-12,938.9030837004406,0.0,52.18999862670898
2017-03-13,1225.159574468085,0.0,51.369998931884766
2017-03-14,1067.8046709129512,0.0,51.369998931884766
2017-03-15,1067.590566037736,0.0,51.369998931884766
2017-03-16,1059.4879852125694,0.0,51.34999847412109
2017-03-17,1079.0745341614906,0.0,50.91999816894531
2017-03-18,1077.539714867617,0.0,51.810001373291016
2017-03-19,915.7320754716981,0.0,51.7400016784668
2017-03-20,1067.6929292929292,0.0,51.7599983215332
2017-03-21,1033.85,0.0,51.7599983215332
2017-03-22,1023.064870259481,0.0,51.7599983215332
2017-03-23,1039.454365079365,0.0,51.619998931884766
2017-03-24,1021.7554240631164,0.0,50.959999084472656
2017-03-25,1061.8145833333333,0.0,50.63999938964844
2017-03-26,912.0393700787401,0.0,50.560001373291016
2017-03-27,1075.9871520342613,0.0,50.79999923706055
2017-03-28,1110.1494505494506,0.0,50.79999923706055
2017-03-29,1132.132743362832,0.0,50.79999923706055
2017-03-30,1140.2617586912065,0.0,50.75
2017-03-31,1013.9905660377359,0.0,51.33000183105469
2017-04-01,1120.3950338600453,0.0,52.41999816894531
2017-04-02,912.9350180505415,0.0,52.959999084472656
2017-04-03,1086.0222222222221,0.0,52.83000183105469
2017-04-04,1118.9035087719299,0.0,52.83000183105469
2017-04-05,1129.5245202558635,0.0,52.83000183105469
2017-04-06,894.4861995753715,0.0,53.119998931884766
2017-04-07,1081.8402489626556,0.0,54.16999816894531
2017-04-08,988.2117647058824,0.0,54.36000061035156
2017-04-09,924.9154411764706,0.0,54.88999938964844
2017-04-10,1072.4773175542407,0.0,55.2400016784668
2017-04-11,1136.6064257028113,0.0,55.2400016784668
2017-04-12,1114.1166666666666,0.0,55.2400016784668
2017-04-13,1022.1808731808732,0.0,55.97999954223633
2017-04-14,875.1989100817439,0.0,56.22999954223633
2017-04-15,1145.3768736616703,0.0,55.86000061035156
2017-04-16,920.7700348432056,0.0,55.88999938964844
2017-04-17,1098.5228628230616,0.0,55.88999938964844
2017-04-18,1108.7366412213742,0.0,55.88999938964844
2017-04-19,1086.0914285714287,0.0,55.88999938964844
2017-04-20,1090.1323251417768,0.0,55.36000061035156
2017-04-21,1075.9564315352698,0.0,54.88999938964844
2017-04-22,1105.6814159292035,0.0,52.93000030517578
2017-04-23,935.2592592592592,0.0,52.9900016784668
2017-04-24,1027.8453608247423,0.0,51.959999084472656
2017-04-25,1066.7229166666666,0.0,51.959999084472656
2017-04-26,1091.602510460251,0.0,51.959999084472656
2017-04-27,1063.5757575757575,0.0,51.59999847412109
2017-04-28,1008.3262910798122,0.0,52.09999847412109
2017-04-29,1138.4190476190477,0.0,51.81999969482422
2017-04-30,973.656862745098,0.0,51.43999862670898
2017-05-01,958.0213903743315,0.0,51.72999954223633
2017-05-02,1121.7337278106509,0.0,51.72999954223633
2017-05-03,1089.7788649706458,0.0,51.72999954223633
2017-05-04,1094.2694610778442,0.0,51.52000045776367
2017-05-05,1083.658536585366,0.0,50.459999084472656
2017-05-06,1081.9847826086957,0.0,50.790000915527344
2017-05-07,852.4461538461538,0.0,48.380001068115234
2017-05-08,1050.3510204081633,0.0,49.09999847412109
2017-05-09,1100.4061810154526,0.0,49.09999847412109
2017-05-10,1141.801886792453,0.0,49.09999847412109
2017-05-11,1086.777027027027,0.0,49.34000015258789
2017-05-12,1071.3618421052631,0.0,48.72999954223633
2017-05-13,970.3266331658291,0.0,50.220001220703125
2017-05-14,910.9733840304183,0.0,50.77000045776367
2017-05-15,1127.269311064718,0.0,50.84000015258789
2017-05-16,1153.3575883575884,0.0,50.84000015258789
2017-05-17,1136.2805611222445,0.0,50.84000015258789
2017-05-18,1068.8170974155069,0.0,51.81999969482422
2017-05-19,1063.150826446281,0.0,51.650001525878906
2017-05-20,1182.7510917030568,0.0,52.209999084472656
2017-05-21,905.84375,0.0,52.5099983215332
2017-05-22,1118.2025316455697,0.0,53.61000061035156
2017-05-23,1100.6815286624203,0.0,53.61000061035156
2017-05-24,1147.7583497053045,0.0,53.61000061035156
2017-05-25,1139.676724137931,0.0,53.869998931884766
2017-05-26,1049.3458333333333,0.0,54.150001525878906
2017-05-27,1155.453961456103,0.0,53.959999084472656
2017-05-28,910.5574468085107,0.0,51.459999084472656
2017-05-29,1140.1157024793388,0.0,52.150001525878906
2017-05-30,1096.6193548387096,0.0,52.150001525878906
2017-05-31,1149.7139423076924,0.0,52.150001525878906
2017-06-01,1205.7782608695652,0.0,52.150001525878906
2017-06-02,1177.1195928753182,0.0,51.84000015258789
2017-06-03,1301.445238095238,0.0,50.310001373291016
2017-06-04,875.4524886877828,0.0,50.33000183105469
2017-06-05,1240.4278350515465,0.0,49.95000076293945
2017-06-06,1229.715536105033,0.0,49.95000076293945
2017-06-07,1266.3838383838383,0.0,49.95000076293945
2017-06-08,1191.2017353579176,0.0,49.470001220703125
2017-06-09,1125.370786516854,0.0,50.119998931884766
2017-06-10,1046.2549504950496,0.0,48.060001373291016
2017-06-11,1027.485294117647,0.0,47.86000061035156
2017-06-12,1193.5484496124031,0.0,48.150001525878906
2017-06-13,1192.1767955801106,0.0,48.150001525878906
2017-06-14,1129.785046728972,0.0,48.150001525878906
